472 items,,,,,,,
Item,Tier,Icon,Effect,Unlock condition,,,
Knot,0,,Add permissive to all blank sides,None,,,
Lawnmower,0,,Remove green keywords from all sides,None,,,
Learn Aid,0,,Learn the spell: Aid (Cost: 1 mana - Heal 2 to all enemies),None,,,
Learn Bank,0,,Learn the spell: Bank (Cost: 4 mana - 3 mana future singleCast),None,,,
Learn Betray,0,,Learn the spell: Betray (Cost: 2 mana - Kill an ally),None,,,
Learn Burstic,0,,Learn the tactic: Burstic (Cost: 2x mana pips - 2 damage or shield 2),None,,,
Learn Hinder,0,,Learn the spell: Hinder (Cost: 1 mana - 1 damage to an ally weaken),None,,,
Learn Invoke,0,,Learn the spell: Invoke (Cost: 1 mana - Summon a demon),None,,,
Learn Mana,0,,Learn the spell: Mana (Cost: 1 mana - +1 mana singleCast),None,,,
Learn Niche,0,,Learn the spell: Niche (Cost: 2 mana - Kill an enemy with exactly 41 hp),None,,,
Learn Oof,0,,Learn the tactic: Oof (Cost: 5x blank sides - 5 damage),None,,,
Learn Tsrub,0,,Learn the spell: Tsrub (Cost: 2 mana - Shield 2 to an enemy or 2 damage to an ally),None,,,
Learn Waste,0,,Learn the spell: Waste (Cost: 1 mana - Replace blank sides with '1 damage death' this turn),None,,,
Monster Grin,0,,Add possessed to the top and bottom sides,None,,,
Old Root,0,,+2 pips to all basic heal sides,None,,,
Orbit,0,,Shift my row across by 1 x4,None,,,
Overprepared,0,,The zeroth turn: +1 pip to all sides,None,,,
Paper,0,,Add nothing to the left side,None,,,
Peanut Shell,0,,"Must be equipped
+1 empty max hp",None,,,
Pin,0,,Replace blank sides with '1 self damage cantrip',None,,,
Potion Shard,0,,Replace the bottom side with '3 damage pain potion',"Complete ""Herbalist-Pick"" achievement",,,
Refactor,0,,Replace recharge sides with 'Add doubleUse to target's sides this turn',"Complete ""70 Achievements"" achievement",,,
Rorrim Tekcop,0,,Copy the rightmost side onto the left side,"Complete ""Pocket Mirror-Pick"" achievement",,,
Rusty Longsword,0,,Replace the middle row with '1 damage',None,,,
Scissors,0,,Add deathwish & pain to the middle side,None,,,
Scoundrel Stash,0,,"Scoundrel only
+1 pip to the two left sides",None,,,
Shroud,0,,Add reborn to the middle side,None,,,
Sleeper Agent,0,,Replace the rightmost side with '5 damage to an ally mandatory generous stasis',None,,,
Snake Oil,0,,Add engage to all basic heal sides,"Complete ""I wish I could undo this achievement"" achievement",,,
Spanner,0,,"Revert all changes to the rightmost side
(Replace rightmost side with my base rightmost side)","Complete ""I wish I could undo this achievement"" achievement",,,
Splinter,0,,-1 max hp,None,,,
Sprinkles,0,,"Violet hero only
+1 pip to the left side",None,,,
Stake,0,,Add terminal to all damage sides,"Complete ""70 Achievements"" achievement",,,
Stale Bread,0,,Replace the two left sides with 'Gain 0 rerolls cantrip' & 'blank',None,,,
Stoneskin,0,,"+2 max hp
Replace all sides with 'blank'",None,,,
Taxes,0,,Add mandatory to all sides,None,,,
Tin Foil Hat,0,,See the hidden reality behind some sides,None,,,
Toy Sword,0,,Replace the rightmost side with '0 damage',"Complete ""I wish I could undo this achievement"" achievement",,,
Trick Deck,0,,Add sept to the left side,"Complete ""I wish I could undo this achievement"" achievement",,,
Twiddle,0,,Swap the top side with the bottom side,None,,,
Two of Clubs,0,,"+1 to the rightmost side
-1 to other sides","Complete ""7 Damage!"" achievement",,,
Void,0,,does absolutely n o t h i n g (but hey this item is good for hoard),None,,,
Wooden Armour,0,,"+2 max hp
-1 pip to all sides",None,,,
Yearn,0,,Replace blank sides with 'Heal and shield 0 manaGain',None,,,
Anchor,1,,Start of turn 1: self-shield 2,None,,,
Arrow,1,,Replace damage sides with 'Kill an enemy with 2 or less hp ranged',"Complete ""70 Achievements"" achievement",,,
Balisong,1,,Replace the left side with '1 damage cantrip',None,,,
Ballet Shoes,1,,Swap the left side with the rightmost side,"Complete ""Dancer-Pick"" achievement",,,
Barkskin,1,,"Immune to shields
+2 max hp",None,,,
Basilisk Scale,1,,"Start petrified for 1
+3 pips to the top side","Complete ""Petrified"" achievement",,,
Big Heart,1,,Replace the middle side with 'Heal 7',None,,,
Big Shield,1,,Replace the left side with 'Shield 4',None,,,
Bone Charm,1,,No hp penalty when defeated,None,,,
Bowl,1,,"Revert all changes to the middle column
(Replace middle column with my base middle column)","Complete ""70 Achievements"" achievement",,,
Castor Root,1,,Replace blank sides with 'Heal 1',None,,,
Change of Heart,1,,"Replace heal/selfheal sides with 'basic shield' sides, retaining their original pips and other keywords","Complete ""Change of Heart"" achievement",,,
Cheating Sleeves,1,,Add quin to the top and bottom sides,"Complete ""Ace-Pick"" achievement",,,
Cloak,1,,Replace the middle side with 'Dodge all damage and enemy effects this turn',None,,,
Clumsy Shoes,1,,Add heavy & eliminate & +1 pip to all targeted sides,"Complete ""70 Achievements"" achievement",,,
Coin,1,,"+4 pips to the left side
-1 reroll","Complete ""70 Achievements"" achievement",,,
Compass,1,,"Rotate sides clockwise around the middle side
(Left side moves to top side, top side moves to right side, right side moves to bottom side and bottom side moves to left side)","Complete ""45 Achievements"" achievement",,,
Copper Ring,1,,"+1 empty max hp
+1 max stored mana",None,,,
Corset,1,,"Replace the left side with 'blank'
+1 pip to the middle side",None,,,
Courage Potion,1,,Add potion & +3 pips to the left side,"Complete ""Herbalist-Pick"" achievement",,,
Doll,1,,"Replace the left side with the above hero's base side
-1 pip to the five right sides","Complete ""70 Achievements"" achievement",,,
Doom Blade,1,,Replace blank sides with '3 damage death',"Complete ""70 Achievements"" achievement",,,
Emerald Shard,1,,"Gain the effects of all tier 2 items on other heroes
(Can copy the effects of items that are exclusive to a certain hero color)","Complete ""Hidden Emerald"" achievement",,,
Glass Helm,1,,"+3 max hp
Death is permanent","Complete ""Oops+"" achievement",,,
Healing Wand,1,,Replace the rightmost side with 'Heal 4 single-use',None,,,
Infused Herbs,1,,Replace the bottom side with 'Heal 2 regen cleanse manacost',"Complete ""45 Achievements"" achievement",,,
Iron Heart,1,,Add exert & +1 pip to all sides,"Complete ""70 Achievements"" achievement",,,
Knife Bag,1,,"Replace blank sides with '1 damage cantrip, pain'","Complete ""Draw"" achievement",,,
Learn Poultice,1,,Learn the spell: Poultice (Cost: 1 mana - Heal 2 singleCast),None,,,
Leather Vest,1,,+1 max hp,None,,,
Memory,1,,"Revert all changes to the left side
(Replace left side with my base left side)","Complete ""45 Achievements"" achievement",,,
Necromancer Tome,1,,"You can cast spells from defeated heroes
Replace the left side with '3 mana pain'","Complete ""45 Achievements"" achievement",,,
Pendulum,1,,Swap the left side with the middle side,"Complete ""70 Achievements"" achievement",,,
Quiver,1,,Replace the five right sides with '1 damage ranged',None,,,
Reagents,1,,Replace the two right sides with 'blank' & 'Heal 1 regen',None,,,
Revive Potion,1,,Replace the right side with 'Revive the 5 top-most defeated allies potion',"Complete ""Herbalist-Pick"" achievement",,,
Rusty Plate,1,,"Replace the middle side with 'blank'
+3 max hp",None,,,
Scar,1,,+5 empty max hp,"Complete ""Heal"" achievement",,,
Seedling,1,,Replace the left side with '2 damage growth',None,,,
Sorcery Notes,1,,Replace the two left sides with '+1 mana cantrip' & 'blank',"Complete ""45 Achievements"" achievement",,,
Tankard,1,,Add acidic to the middle side,"Complete ""45 Achievements"" achievement",,,
Tattered Robes,1,,"Replace the three right sides with '+1 mana'
+1 max stored mana",None,,,
Tincture,1,,Add cleanse to the rightmost side,"Complete ""45 Achievements"" achievement",,,
Titanbane Potion,1,,Add dispel & potion to the middle side,"Complete ""Herbalist-Pick"" achievement",,,
Trowel,1,,Replace the left side with 'Revive the top-most defeated ally',None,,,
Wand of Wand,1,,Replace the middle side with '1 damage singleUse inflictsingleUse',"Complete ""Wand Regret"" achievement",,,
Whey,1,,Add vitality to the left side,"Complete ""70 Achievements"" achievement",,,
Wolf Ears,1,,Set max hp to 6,None,,,
Ace of Spades,2,,"+2 to the left side
-2 to the five right sides","Complete ""Gambler-Pick"" achievement",,,
Autumn Leaf,2,,Add growth to the rightmost side,None,,,
Big Hammer,2,,Replace the two left sides with '5 damage heavy' & 'blank',None,,,
Blessed Ring,2,,Replace the rightmost side with 'Shield 1 rescue',"Complete ""Blessed Ring"" achievement",,,
Blessed Water,2,,Replace the rightmost side with 'Heal 3 vitality',None,,,
Buckler,2,,Replace the middle side with 'Shield 3 bloodlust',None,,,
Burning Blade,2,,"Replace the left side with '4 damage'
-2 max hp",None,,,
Citrine Ring,2,,+1 pip to the rightmost side,None,,,
Clef,2,,Add treble to the left side,"Complete ""70 Achievements"" achievement",,,
Clumsy Hammer,2,,Replace the top side with '4 damage heavy eliminate',"Complete ""70 Achievements"" achievement",,,
Faint Halo,2,,+1 max hp this fight whenever I save a hero,None,,,
First aid Kit,2,,"Orange heroes only
Replace the bottom side with 'Heal 2 cleanse'","Complete ""45 Achievements"" achievement",,,
Fletching,2,,Add ranged to the left side,None,,,
Flickering Blade,2,,Replace the rightmost side with '1 damage copycat',"Complete ""70 Achievements"" achievement",,,
Foil,2,,Replace the right side with '0 damage skill',"Complete ""70 Achievements"" achievement",,,
Friendship Bracelet,2,,"+2 empty max hp
Monsters flee if you have 5x as much hp as them instead of 10x","Complete ""Benevolence"" achievement",,,
Garnet,2,,+1 to incoming healing,None,,,
Golden Thread,2,,"Yellow heroes only
+1 pip to all non-damage sides","Complete ""70 Achievements"" achievement",,,
Ice Cube,2,,Add stasis to the left side,"Complete ""45 Achievements"" achievement",,,
Kilt,2,,Copy the right side onto the rightmost side,None,,,
Learn Remedy,2,,Learn the spell: Remedy (Cost: 1 mana - Heal 1 cleanse singleCast),"Complete ""45 Achievements"" achievement",,,
Learn Wings,2,,Learn the spell: Wings (Cost: 2 mana - Heal 3 to the top and bottom allies),None,,,
Leather Gloves,2,,Copy the rightmost side onto the top and bottom sides,"Complete ""45 Achievements"" achievement",,,
Liqueur,2,,"Swap the top side with the rightmost side
+2 max stored mana","Complete ""70 Achievements"" achievement",,,
Needle,2,,Add picky & +2 pips to all targeted sides,"Complete ""70 Achievements"" achievement",,,
Origami,2,,"Swap each side with its opposite
(Swap top side with bottom side, left side with right side, middle side with rightmost side)","Complete ""45 Achievements"" achievement",,,
Peaked Cap,2,,Copy the middle side onto the left side,None,,,
Pillow,2,,Add patient to the left side,None,,,
Polearm,2,,Replace damage sides with my top side,"Complete ""70 Achievements"" achievement",,,
Powdered Mana,2,,Replace blank sides with '+1 mana',None,,,
Quicksilver,2,,Keep unused shields,"Complete ""Ironclad"" achievement",,,
Rain of Arrows,2,,Replace the top side with '1 damage ranged duplicate',None,,,
Rejuvenation Wand,2,,Replace the top and bottom sides with 'Heal 10 singleUse',None,,,
Sapphire,2,,Replace the middle side with '+2 mana',None,,,
Sapphire Skull,2,,Upon death: +2 mana,None,,,
Silver Imp,2,,Replace the top and bottom sides with 'Gain 1 reroll cantrip pain',"Complete ""Spines+"" achievement",,,
Spinach,2,,Start of turn 1: Self-heal 3,"Complete ""45 Achievements"" achievement",,,
Square Wheel,2,,"Replace the three right sides with 'Gain 1 reroll cantrip', 'blank' & 'blank'","Complete ""70 Achievements"" achievement",,,
Static Tome,2,,Replace the top and bottom sides with '+1 mana pair',"Complete ""70 Achievements"" achievement",,,
Statuette,2,,"Replace the middle row with 'blank'
+6 max hp","Complete ""Statue-Pick"" achievement",,,
Terrarium,2,,Replace the two right sides with 'Shield 2 growth' & '+1 mana growth',None,,,
Tower Shield,2,,Replace the middle side with 'Shield 7 heavy',"Complete ""70 Achievements"" achievement",,,
Twin Daggers,2,,Replace the top and bottom sides with '1 damage cantrip',None,,,
Wandify,2,,Add singleUse & +1 pip to the two right sides,None,,,
Worn Arms,2,,Replace the top and bottom sides with '2 damage' & Shield 2',None,,,
Abacus,3,,"Shift my middle row across by 1
+1 max hp","Complete ""45 Achievements"" achievement",,,
Aegis,3,,Replace the middle side with 'Shield 1 duplicate steel',"Complete ""70 Achievements"" achievement",,,
Ash,3,,Add enduring to the middle two sides,"Complete ""45 Achievements"" achievement",,,
Blood Chalice,3,,Self-shield 1 for each wasted point of healing I receive,None,,,
Clover,3,,"+1 to the left side
 -2 to the middle side",None,,,
Diving Suit,3,,Replace the two right sides with the hero below's base sides,"Complete ""70 Achievements"" achievement",,,
Droopy Hat,3,,"+2 max hp
+2 max stored mana",None,,,
Duvet,3,,Add patient to the three right sides,"Complete ""45 Achievements"" achievement",,,
Enchanted Shield,3,,"At the start of each turn, self-shield 1",None,,,
Golden Cup,3,,"+100 empty max hp
+100 max stored mana","Complete ""45 Achievements"" achievement",,,
Harpoon,3,,Replace the rightmost side with '1 damage vulnerable',None,,,
Incense,3,,Add rite to the top side,"Complete ""45 Achievements"" achievement",,,
Iron Pendant,3,,+1 to incoming shields,None,,,
Juice,3,,Add selfcleanse to the left side,"Complete ""45 Achievements"" achievement",,,
Ladder,3,,Replace the middle side with the hero above's base side,"Complete ""70 Achievements"" achievement",,,
Lead Boots,3,,Add sticky & +1 pip to all sides,None,,,
Learn Flare,3,,Learn the spell: Flare (Cost: 4 mana - 5 damage),None,,,
Learn Heat,3,,Learn the spell: Heat (Cost: 3 mana - Heal 3 to all allies with shields cleanse),"Complete ""70 Achievements"" achievement",,,
Learn Sprout,3,,Learn the spell: Sprout (Cost: 3 mana - Heal 3 channel),None,,,
Lich Finger,3,,Add manaGain & death to the left side,"Complete ""Manastorm+"" achievement",,,
Lightning Rod,3,,Replace the left side with '0 damage ranged charged rampage pain',"Complete ""Choose-Party 5x"" achievement",,,
Longbow,3,,Replace the top and bottom sides with '2 damage ranged',None,,,
Magnet,3,,Add wham to the two right sides,None,,,
Mana Bomb,3,,Replace the rightmost side with '0 damage to all heroes and monsters charged manacost',"Complete ""70 Achievements"" achievement",,,
Pocket Phylactery,3,,"Add pain to the two left sides
+6 max hp",None,,,
Poem,3,,Add alliteration to all damage sides,"Complete ""Poet-Pick"" achievement",,,
Pure Heart Pendant,3,,Replace the middle side with 'Heal 3 cleanse',None,,,
Ritual Dagger,3,,Replace the rightmost side with 'Revive the 4 top-most defeated allies death',"Complete ""75 Deaths"" achievement",,,
Scalpel,3,,"Red heroes only
+1 pip to all damage sides",None,,,
Shortsword,3,,Replace the two right sides with '2 damage',None,,,
Siphon,3,,Add pain & +1 pip to all mana/manaGain sides,"Complete ""70 Achievements"" achievement",,,
Smelly Manure,3,,"Add growth to the top and bottom sides
Add decay to the middle row","Complete ""Overgrowth"" achievement",,,
Syringe,3,,Add cantrip to all sides if there are 2 or fewer living heroes,"Complete ""45 Achievements"" achievement",,,
Three of a Kind,3,,Add trio to the rightmost side,"Complete ""45 Achievements"" achievement",,,
Unholy Strength,3,,"Immune to shields
Immune to healing
+1 pip to the middle row",None,,,
Viscera,3,,Replace the middle side with '0 damage flesh pain',"Complete ""70 Achievements"" achievement",,,
Whetstone,3,,+1 pip to all basic damage sides,None,,,
Wild Seeds,3,,Add undergrowth to the two left sides,"Complete ""70 Achievements"" achievement",,,
Wristblade,3,,Replace blank sides with '1 damage doubleUse',None,,,
Alembic,4,,Replace the middle side with 'Add manaGain & pain to target's sides this turn',"Complete ""70 Achievements"" achievement",,,
Antivenom,4,,Immune to poison,None,,,
Apple,4,,Add ego to the two left sides,"Complete ""45 Achievements"" achievement",,,
Bonesaw,4,,"Red heroes only
Replace the top and bottom sides with '3 damage cruel'","Complete ""45 Achievements"" achievement",,,
Cart,4,,"All heroes: +1 item slot (max 4)
-2 item slots","Complete ""70 Achievements"" achievement",,,
Chainmail,4,,+3 max hp,None,,,
Chakram,4,,"Replace shield/selfshield sides with 'ranged damage' sides, retaining their original pips and other 
keywords","Complete ""45 Achievements"" achievement",,,
Charged Skull,4,,Upon death: +4 mana,None,,,
Corruption,4,,Add evil & +1 pip to all heal/selfheal sides,"Complete ""45 Achievements"" achievement",,,
Cracked Plate,4,,"-4 max hp
At the start of each turn, self-shield 4",None,,,
Demon Eye,4,,Add pain & +2 pips to the left side,None,,,
Dragonhide Gloves,4,,Copy the middle side onto the top and bottom sides,None,,,
Duelling Pistol,4,,Add duel to the left side,"Complete ""45 Achievements"" achievement",,,
Dynamo,4,,Add singleUse & era to the two right sides,None,,,
Eggshell,4,,Add zeroed to all sides,"Complete ""70 Achievements"" achievement",,,
Eyepatch,4,,Remove all keywords from the left side,None,,,
Faerie Pact,4,,"Replace the rightmost side with '+4 mana'
-4 max hp",None,,,
Fangs,4,,Add selfheal to the left side,None,,,
Flawed Diamond,4,,"Add pristine to the two left sides
+4 empty max hp","Complete ""70 Achievements"" achievement",,,
Full Moon,4,,Every 2nd turn: Replace all sides with wolf's sides,"Complete ""70 Achievements"" achievement",,,
Glass Blade,4,,"Replace the left side with '5 damage'
'Glass Blade' lost upon death","Complete ""70 Achievements"" achievement",,,
Glowing Egg,4,,Add growth to the left side,None,,,
Hissing Ring,4,,Replace the middle side with '2 damage poison',None,,,
Idol of Aiiu,4,,+1 max hp for each vowel in my name,"Complete ""45 Achievements"" achievement",,,
Ink Bottle,4,,Replace blank sides with 'Shield 1 cantrip',None,,,
Inner Strength,4,,Remove red & purple keywords from all sides,"Complete ""70 Achievements"" achievement",,,
Jester Cap,4,,Replace all sides with Jester's sides,"Complete ""Jester-Pick"" achievement",,,
Learn Beam,4,,Learn the spell: Beam (Cost: 5 mana - 7 damage singleCast ranged),None,,,
Learn Hack,4,,Learn the spell: Hack (Cost: 2 mana - Replace blank sides with '4 damage' this turn),"Complete ""45 Achievements"" achievement",,,
Learn Hex,4,,Learn the spell: Hex (Cost: 3 mana - Kill an enemy with exactly 6 hp ranged singleCast),None,,,
Learn Invest,4,,Learn the spell: Invest (Cost: 4 mana - +6 mana future cooldown),None,,,
Learn Mark,4,,Learn the spell: Mark (Cost: 4 mana - 2 damage vulnerable),None,,,
Life Bolt,4,,"After an ability is cast, self-heal 1",None,,,
Magic Staff,4,,Set all mana/manaGain sides to 2,None,,,
Mana Jelly,4,,Add single-use & cantrip to all mana/mana-gain sides,"Complete ""Manastorm"" achievement",,,
Natural,4,,"Blue heroes only
Replace the two right sides with '+2 mana'",None,,,
Obol,4,,Add deathwish to the two right sides,None,,,
PowerStone,4,,"Grey heroes only
Replace the left side with '+0 mana steel'","Complete ""70 Achievements"" achievement",,,
Pulley,4,,"Shift my column down by 1
(Top side moves to middle side, middle side moves to bottom side, bottom side moves to top side)
+2 item slots","Complete ""70 Achievements"" achievement",,,
Red flag,4,,"+3 max hp
Replace the middle side with 'Redirect all enemy attacks and enemy effects from an ally to me cleave'","Complete ""Choose-Party 4x"" achievement",,,
Relic,4,,Add swapterminal to all sides,"Complete ""Last Legs"" achievement",,,
Shuriken,4,,Add ranged & chain to the two right sides,"Complete ""70 Achievements"" achievement",,,
Soup,4,,"Replace shield/selfshield sides with 'heal and shield sides', retaining their original pips and other 
keywords","Complete ""70 Achievements"" achievement",,,
Splitting Arrows,4,,Replace the two right sides with '1 damage ranged cleave',None,,,
Tiara,4,,Add selfheal to all mana/manaGain sides,None,,,
Troll Nose,4,,Start with 1 regen,"Complete ""Troll Slayer"" achievement",,,
Updog,4,,Add overdog to the top side,"Complete ""Sling-Pick"" achievement",,,
Whiskers,4,,"Replace the three right sides with '1 damage ranged copycat', '1 damage copycat', 'Shield 1 copycat'","Complete ""45 Achievements"" achievement",,,
Ambrosia,5,,Add rescue to the left side,None,,,
Bag of Holding,5,,"+2 item slots (max 4)
+2 max hp",None,,,
Bandana,5,,Add cantrip to all pipless sides,"Complete ""70 Achievements"" achievement",,,
Cocoon,5,,Add era & -1 pip to all sides,"Complete ""45 Achievements"" achievement",,,
Cracked Wheel,5,,"Add sticky to all sides
+1 reroll",None,,,
Crystallise,5,,Add stasis to all sides,"Complete ""70 Achievements"" achievement",,,
Decree,5,,Add dogma to all sides,"Complete ""70 Achievements"" achievement",,,
Demon Horn,5,,Replace the rightmost side with 'Heal 2 boost inflictpain',"Complete ""70 Achievements"" achievement",,,
Doomblade,5,,Add guilt & +1 pip to all damage sides,"Complete ""70 Achievements"" achievement",,,
Door,5,,+2 pips to all shield/selfshield sides if there are 4 or more monsters,"Complete ""45 Achievements"" achievement",,,
Early Grave,5,,Add pain & cantrip to all sides with 3 or more pips,"Complete ""25 Deaths"" achievement",,,
Enchanted Harp,5,,Replace the middle side with 'Shield 2 to all allies',"Complete ""Bard-Pick"" achievement",,,
Erythrocyte,5,,Replace the middle side with 'Shield 0 flesh',"Complete ""45 Achievements"" achievement",,,
Fearless,5,,"+1 max hp
Replace the rightmost side with 'Stun an enemy with equal or less hp than me'",None,,,
Gizmo,5,,Add shifter to the two right sides,"Complete ""45 Achievements"" achievement",,,
Glyph of Purity,5,,Add cleanse to the top and bottom sides,None,,,
Lens,5,,Add focus to all heal/selfheal sides,"Complete ""45 Achievements"" achievement",,,
Longsword,5,,Replace the middle row with '3 damage',None,,,
Mini Crossbow,5,,"Replace the top side with '2 damage ranged, engage'",None,,,
Monocle,5,,Add engage to the middle side,None,,,
Nunchaku,5,,Add chain to the top and bottom sides,"Complete ""70 Achievements"" achievement",,,
Ordinary Triangle,5,,+1 pip to all sides with exactly 3 pips,"Complete ""All 3"" achievement",,,
Pauldron,5,,"+2 pips to the top side
-2 pips to the bottom side",None,,,
Polished Emerald,5,,"Gain the effects of all tier 2-4 items on other heroes
(Can copy the effects of items that are exclusive to a certain hero color)","Complete ""Hidden Emerald"" achievement",,,
Poodle,5,,Add dog to the middle column,"Complete ""Updog-Pick"" achievement",,,
Ruby,5,,"+2 to incoming healing
+2 empty max hp",None,,,
Sack of Mana,5,,"Replace the middle column with 'blank', '+4 mana' & 'blank'",None,,,
Sceptre,5,,Replace the left side with '1 damage lead',"Complete ""45 Achievements"" achievement",,,
Shimmering Halo,5,,+2 max hp this fight whenever you save a hero,"Complete ""Saviour"" achievement",,,
Shining Bow,5,,Add ranged to all damage sides,None,,,
Simplicity,5,,"+1 to all basic heal, mana, damage & shield sides",None,,,
Sling,5,,Add underdog to the bottom side,"Complete ""45 Achievements"" achievement",,,
Sponge,5,,"When an enemy dies, +1 pip to all sides this turn",None,,,
Treasure Chest,5,,Add hoard & singleUse to the left side,"Complete ""Challenger+"" achievement",,,
Wand Grips,5,,Add singleUse & +2 to the left side,None,,,
Whiskey,5,,"+3 max hp
+6 empty max hp",None,,,
Blindfold,6,,Remove all keywords from all sides,"Complete ""70 Achievements"" achievement",,,
Blinding Bolt,6,,"After an ability is used, self-shield 2",None,,,
Blood Amulet,6,,Add selfheal to the two left sides,None,,,
Braids,6,,Copy the left side onto the middle side,None,,,
Candle,6,,Add vigil to all sides,"Complete ""Survivor"" achievement",,,
Catnip,6,,Add cantrip to the rightmost side,None,,,
Cauldron,6,,Add rite & +1 pip to the middle side,None,,,
Conduit,6,,Replace the middle side with '+2 mana duplicate',None,,,
Crescent Shield,6,,Replace the left side with 'Shield 1 repel rampage rescue',"Complete ""45 Achievements"" achievement",,,
Demonic Deal,6,,Add pain & +2 pips to all sides,"Complete ""Reaper"" achievement",,,
Determination,6,,The 1st turn: Cannot die,"Complete ""70 Cheat Death"" achievement",,,
Enhance Wand,6,,Replace the top side with 'Shield 1 singleUse permaBoost',None,,,
Eucalyptus,6,,Replace the right side with 'Heal 1 cleanse quadUse',"Complete ""45 Achievements"" achievement",,,
Ghost Shield,6,,"At the start of each turn, self-shield 2",None,,,
Honeycomb,6,,Add sixth to the three right sides,"Complete ""70 Achievements"" achievement",,,
